X,Y,OBJECTID,METERID,FACILITYID,METERTYPE,PARKINGTYPE,PAYTYPE,PAYDEVICE,PARKINGRATE,PARKINGDURATION,EVSTATION,INTID,SECONDARYID,METERADDRESS,HEIGHT,SENSORTYPE,IPSPOLE,CREATIONDATE,LASTUPDATE,NOTES,MUNICODEDISTRICT,LATITUDE,LONGITUDE,DEACTIVATED
6156875.948484,1948279.93216956,3124,SNW018,1,Smart Meter,,"Coin, Credit Card",Meter,2,60 Min,No,1,,18 West St. John,,Embedded,SNW018,,2024/07/22 20:18:41+00,,Downtown Business,37.33725779,-121.89241576,No
6156895.61150241,1948291.10800023,3125,SNW016B,2,Smart Meter,,"Coin, Credit Card",Meter,2,60 Min,No,2,B,16 West St. John,,Embedded,SNW016B,,2024/07/22 20:18:41+00,,Downtown Business,37.33728929,-121.89234871,No
6156935.9818285,1948314.05316432,3126,SNW010B,3,Smart Meter,,"Coin, Credit Card",Meter,2,60 Min,No,3,B,10 West St. John,,Embedded,SNW010B,,2024/07/22 20:18:41+00,,Downtown Business,37.33735395,-121.89221103,No
6156996.53485699,1948348.46943407,3127,SNW006,4,Smart Meter,,"Coin, Credit Card",Meter,2,12 Min,No,4,,6 West St. John,,Embedded,SNW006,,2024/07/22 20:18:41+00,,Downtown Business,37.33745093,-121.89200453,No
6157021.62470183,1948362.73384123,3128,SNW004B,5,Smart Meter,,"Coin, Credit Card",Meter,2,60 Min,No,5,B,4 West St. John,,Embedded,SNW004B,,2024/07/22 20:18:41+00,,Downtown Business,37.33749113,-121.89191897,No
6157504.13981292,1948639.50362889,3129,SNE052,6,Smart Meter,Parallel,"Coin, Credit Card",Meter,2,120 Min,No,6,,52 East St. John,,Embedded,SNE052,,2024/07/22 20:18:41+00,,Downtown Business,37.33827089,-121.89027359,No
6157522.32284741,1948650.21883056,3130,SNE056B,7,Smart Meter,Parallel,"Coin, Credit Card",Meter,2,120 Min,No,7,B,56 East St. John,,Embedded,SNE056B,,2024/07/22 20:18:41+00,,Downtown Business,37.33830105,-121.8902116,No
6157602.67406467,1948697.57011381,3131,SNE064B,8,Smart Meter,,"Coin, Credit Card",Meter,2,120 Min,No,8,B,64 East St. John,,Embedded,SNE064B,,2024/07/22 20:18:41+00,,Downtown Business,37.33843437,-121.88993767,No
6157646.340644,1948723.30267389,3132,SNE068B,9,Smart Meter,,"Coin, Credit Card",Meter,2,120 Min,No,9,B,68 East St. John,,Embedded,SNE068B,,2024/07/22 20:18:41+00,,Downtown Business,37.33850681,-121.8897888,No
6158826.050883,1946457.57492189,3134,SLE065A,11,Smart Meter,,"Coin, Credit Card",Meter,2,30 Min,No,11,A,65 East San Carlos,,Embedded,SLE065A,,2024/07/22 20:18:41+00,,South First Street/University Business,37.33233278,-121.88561596,No
6158712.21219991,1946981.44264056,3135,TDS193B,12,Smart Meter,,"Coin, Credit Card",Meter,2,30 Min,No,12,B,193 South 3rd St.,,Embedded,TDS193B,,2024/07/22 20:18:41+00,,South First Street/University Business,37.33376678,-121.88603414,No
6158153.91607241,1947441.82853082,3137,SFE051,14,Smart Meter,,"Coin, Credit Card",Meter,2,120 Min,No,14,,51 East San Fernando,,Embedded,SFE051,,2024/10/21 23:34:47+00,,South First Street/University Business,37.33500836,-121.88797769,No
6157862.93404283,1948102.01126556,3138,SCE058B,15,Smart Meter,,"Coin, Credit Card",Meter,2,120 Min,No,15,B,58 East Santa Clara,,Embedded,SCE058B,,2024/07/22 20:18:41+00,,South First Street/University Business,37.33680947,-121.88901213,No
6157897.78797574,1948122.01188172,3139,SCE062B,16,Smart Meter,,"Coin, Credit Card",Meter,2,120 Min,No,16,B,62 East Santa Clara,,Embedded,SCE062B,,2024/07/22 20:18:41+00,,South First Street/University Business,37.33686582,-121.88889328,No
